adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/wVxcWC5j9e4i3SDq4MesjY5GAsn.jpg,"[18, 35]",114395,['KR'],ko,아름다웠던 우리에게,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",8.7079,/hZQsdmWWB2kKDLJyfHvk8dR5VTJ.jpg,2020-12-28,A Love So Beautiful,8.328,570
False,/ea6lO0I2wOtC0SiHWZPfg9zRKZo.jpg,"[9648, 80, 18]",219652,['KR'],ko,아무도 없는 숲속에서,"One tranquil summer, a mysterious woman checks into a vacation rental — triggering events that disrupt the lives of the owner and those around him.",7.8168,/uMl2TzRs1LzTR9jyRNHnf5keqMV.jpg,2024-08-23,The Frog,7.148,98
False,/3GC4cfyGuUkSx4EMZms2KccUGDg.jpg,"[10765, 18, 35]",90447,['KR'],ko,호텔 델루나,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",9.1809,/8bizZsXoAsOTbhyFKfBogC8mgG2.jpg,2019-07-12,Hotel Del Luna,8.534,566
False,/xZ9b3KfK5qpFF8WzUFUlH5TdkKc.jpg,"[18, 10759, 80]",110534,['KR'],ko,D.P.,A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,7.7626,/3LqTNjibg3XySzP2iUHyKinEyw7.jpg,2021-08-27,D.P.,8.032,231
False,/w5P0EXYWyUZjWVYYgMOkiqvyE3W.jpg,[18],89604,['KR'],ko,봄밤,"When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air -- and anything is possible.",9.8902,/kFEIbuGVbIDQ5GPOWdw6heZVXKC.jpg,2019-05-22,One Spring Night,8.1,66
False,/eNK7aolIJ75W7tNeh5I0An14rtg.jpg,"[35, 18]",80737,['KR'],ko,내 아이디는 강남미인,"Bullied for her looks, Mi-rae gets plastic surgery hoping for a better kind of life but faces new challenges in college. Based on a hit Korean webtoon.",9.2946,/8lj40cE1DhW9jBe07fOI18MDQDK.jpg,2018-07-27,My ID is Gangnam Beauty,7.193,122
False,/jvFfHNiCKPWRULvkmeocyjm4QtE.jpg,[18],129888,['KR'],ko,스물다섯 스물하나,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.",8.6862,/yCQFnmYhYf7XALMka2EoBRAFmPO.jpg,2022-02-12,Twenty Five Twenty One,8.423,247
False,/2JMQI9dyR6wzgs8kWDiDK6Npt3j.jpg,"[18, 35]",222233,['KR'],ko,닥터 슬럼프,"Once rivals in school, two brilliant doctors reunite by chance — each facing life’s worst slump and unexpectedly finding solace in each other.",9.2835,/iOWmbZEbhvrYyWm6O4W3oHf2S9B.jpg,2024-01-27,Doctor Slump,8.394,94
False,/2kmVjjuAJqx7SQwMLHgkWCCHVSi.jpg,"[80, 18, 9648, 10759]",99480,['KR'],ko,모범형사,"A drama about the race between people who want to get closer to the truth and those who want to cover it up. Jang Seung Jo will take on the role of Oh Ji Hyuk, an elite detective of nine years who does not share his feelings with others due to pain he experienced when he was young. He is not swayed by money and power, even with the huge wealth he inherited from his uncle.",7.2387,/oj9zTCRn8tfuXTcqa0UbOCO2DZX.jpg,2020-07-06,The Good Detective,6.912,34
False,/hbksC9zJiV1na8rW6BMJ7ywycVX.jpg,"[18, 10765]",232616,['KR'],ko,히어로는 아닙니다만,"Once blessed with unique superpowers, a family loses their abilities due to modern day problems — until a mysterious woman changes everything.",8.3139,/AnoQxxH3RoMRrUj5fm9SFRYlfxP.jpg,2024-05-04,The Atypical Family,8.057,79
False,/6MQaS4mMnM2WPvsAdQvZDOTxRK9.jpg,"[10759, 80, 18, 10765]",132979,['KR'],ko,배드 앤 크레이지,"A superhero drama about Soo-yeol who has lived his whole life as a materialistic police detective, but changes into a champion for justice and fights against police corruption when a hidden persona called ""K"" awakens inside him.",7.931,/mICl0OrC0ma4say6PO61Tb4xW9F.jpg,2021-12-17,Bad and Crazy,7.8,80
False,/jPTwLNzWGvJzbxjVbpqGaF5kB1k.jpg,[18],219651,['KR'],ko,웰컴투 삼달리,"After suffering a fall from grace, a photographer returns to her hometown and bumps into her childhood friend — rekindling an unfinished romance.",7.7704,/98IvA2i0PsTY8CThoHByCKOEAjz.jpg,2023-12-02,Welcome to Samdal-ri,8.328,90
False,/s5XtGhamnK0yx9MI5XVhHMiJr70.jpg,"[10765, 35, 9648]",231749,['KR'],ko,낮과 밤이 다른 그녀,"A bittersweet romantic comedy about a job seeker who suddenly gets stuck in time as an old-ager one day, and an extraordinary internship with a prosecutor who is caught up in her all day and night.",8.0245,/yfE5kgRsgZD9lXtCS0dnfOz7Kk5.jpg,2024-06-15,Miss Night and Day,8.5,131
False,/6Z1zu9nqq5235Zx90z2A9yPPa9.jpg,[10764],217945,['KR'],ko,좀비버스,A zombie virus outbreak has run amok in Korea — who will outwit the undead in the face of challenging quests and come out alive?,7.4585,/8Rg8pTs6s8dRjGJnhs6pUIRsdDU.jpg,2023-08-08,Zombieverse,6.2,45
False,/1ACyVF58W8SYAxnqAP0JnAOoLlw.jpg,"[10765, 9648, 10759, 18]",135238,['KR'],ko,경성크리처,"Gyeongseong, 1945. In Seoul's grim era under colonial rule, an entrepreneur and a sleuth fight for survival and face a monster born out of human greed.",7.6193,/5wliFAD8Pjjj0YYSmupqjOldnWt.jpg,2023-12-22,Gyeongseong Creature,8.101,257
False,/eW6CqrGSRUk6xMbdCjreMQiP5W8.jpg,"[18, 80]",112833,['KR'],ko,소년심판,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.,7.9918,/xH2wTVlsUlYeFEOVGFDaamHkMCm.jpg,2022-02-25,Juvenile Justice,7.949,177
False,/bkz7rStamWJxC3lp9TUpU9GR18S.jpg,[10764],139798,['KR'],ko,솔로지옥,"On a deserted island, flirtatious singles look for love, because only as a couple can they leave the island for a romantic date in paradise.",7.8992,/86zkkFCrNc4VeqvCANTmpGNgFEF.jpg,2021-12-18,Single's Inferno,7.7,67
False,/79DCyZhUcFsiGfyjNlFH1lS1t4c.jpg,"[18, 9648]",230777,['KR'],ko,트렁크,"A secret marriage service is uncovered when a trunk washes up on the shore, revealing the strange marriage between a couple in the thick of it all.",7.4263,/3YQtEqg923Os5w5Qg8sbQL41shw.jpg,2024-11-29,The Trunk,6.911,45
False,/mXouvrZbn8YpZMURGvw30QK8qfo.jpg,"[18, 10765]",89641,['KR'],ko,좋아하면 울리는,"Love Alarm is an app that tells you if someone within a 10-meter radius has a crush on you. It quickly becomes a social phenomenon. While everyone talks about it and uses it to test their love and popularity, Jojo is one of the few people who have yet to download the app. However, she soon faces a love triangle situation between Sun-oh whom she starts to have feelings for, and Hye-young, who has had a huge crush on her.",7.1877,/hQ8Hobo1RpYuZVQJQOCycNMHAG.jpg,2019-08-22,Love Alarm,8.276,1997
False,/Asd9Mi9pC2B5UQp2pLplzhbd0bB.jpg,"[18, 35]",214997,['KR'],ko,닥터 차정숙,"Twenty years after leaving her medical career, a housewife returns as a first-year resident — struggling to find her footing in a job full of surprises.",7.0967,/qgQQeiy2zyfla5y2yiZJGGU4y1I.jpg,2023-04-15,Doctor Cha,8.2,44
False,/wwNasWOG4HlH9R6F8ybPJETTPO7.jpg,"[80, 18, 9648]",70626,['KR'],ko,비밀의 숲,"Hwang Shi Mok underwent brain surgery as a child to curb his violent temper, which left him devoid of emotions. Hwang becomes a prosecutor known for his piercing intelligence and logic, but he is ostracized because he lacks empathy and social skills. He is also one of only a handful of upright prosecutors who have refused to take bribes. One day, he encounters a stabbing victim while investigating corruption. He meets Lieutenant Han Yeo Jin at the crime scene. They join forces to root out corruption at the prosecutors’ office and solve a serial murder case.",7.3467,/blbbtx7DyvZ3JTGyc9MCArDL79b.jpg,2017-06-10,Stranger,8.299,174
False,/9QjIFAVFN7Pe4MbF2O7oHvLkFsI.jpg,"[35, 18]",243964,['KR'],ko,멜로무비,"A movie buff falls for an aspiring director, igniting a romance that fizzles out too soon. When their paths cross again, can love find its way back?",7.5896,/iEVOYk8eoMdCLFrNXtRSyqVM20c.jpg,2025-02-14,Melo Movie,7.296,27
False,/v7tP30lhgEs3QwJhkrTRW6eHwXV.jpg,[18],135840,['KR'],ko,우리들의 블루스,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,6.5077,/sT5Mlt5UmKiGfBisccwmD4LnPRD.jpg,2022-04-09,Our Blues,8.6,62
False,/hkwceBwHOkog5GeDvB1tErKa3Jt.jpg,[18],116041,['KR'],ko,결혼작사 이혼작곡,"Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",7.3897,/bb82u4HyI8I469TGw2B7d1oM49.jpg,2021-01-23,Love (ft. Marriage and Divorce),6.8,18
False,/8Tvmia6usI20KUnDkc9UltAfwmG.jpg,"[16, 10762, 10751, 10759, 35, 10765]",61194,['KR'],ko,로보카폴리,"When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",7.2132,/1LbEo2Gk3IP5DjN07K7xJQ9usEw.jpg,2011-02-28,Robocar Poli,6.1,8
